approach,scenario,edge_servers,functions,round,user_type,latency_mean,latency_std,utilisation_mean,utilisation_std,mec_systems,prediction,iterations,ants
aco,2,200,1,5,genericUser,59.25838090909091,8.926526720689106,0.02729332549791677,0.01399583958398865,5,NONE,100.0,10.0
aco,2,200,1,5,operaUser,39.50035668789809,13.87100515002277,0.034545911598634155,0.013824229226836375,5,NONE,100.0,10.0
aco,2,300,1,1,Aggregate,56.17019799691834,12.194481435170486,0.02357068885400084,0.012367178710800954,5,NONE,100.0,10.0
aco,2,300,1,1,ambulanceUser,46.556575,15.715632532343923,0.029573860469695668,0.013393411049154855,5,NONE,100.0,10.0
aco,2,300,1,1,genericUser,59.26004909090909,8.92689166253516,0.022437310207298576,0.012042463475092057,5,NONE,100.0,10.0
aco,2,300,1,1,operaUser,37.09240506329114,12.352357113331074,0.029941509403017957,0.012032631021827193,5,NONE,100.0,10.0
aco,2,300,1,2,Aggregate,56.922428132205994,11.558568971730633,0.02078696987427132,0.01054346732812722,5,NONE,100.0,10.0
aco,2,300,1,2,ambulanceUser,48.28291111111112,15.601252737902788,0.023811137991415307,0.011397935725267195,5,NONE,100.0,10.0
aco,2,300,1,2,genericUser,59.25971000000001,8.927020025998424,0.019855753113135543,0.010200655909922873,5,NONE,100.0,10.0
aco,2,300,1,2,operaUser,42.93376282051282,15.132832620630815,0.026480885720283346,0.010782369348215963,5,NONE,100.0,10.0
aco,2,300,1,3,Aggregate,57.334444872783344,11.17053814032134,0.0242620960645547,0.01203991545812214,5,NONE,100.0,10.0
aco,2,300,1,3,ambulanceUser,47.96347727272726,15.635287679266568,0.030152639920898536,0.013271697440037271,5,NONE,100.0,10.0
aco,2,300,1,3,genericUser,59.25703545454545,8.926544644685048,0.02302210959172645,0.011589806181142342,5,NONE,100.0,10.0
aco,2,300,1,3,operaUser,46.206816993464045,15.550728683822737,0.03148301887783538,0.011886601621751567,5,NONE,100.0,10.0
aco,2,300,1,4,Aggregate,57.307600772200765,11.202094864137278,0.023520033401398906,0.012475794459721206,5,NONE,100.0,10.0
aco,2,300,1,4,ambulanceUser,47.30769047619047,15.696992355206755,0.02977884351652553,0.01370168812797041,5,NONE,100.0,10.0
aco,2,300,1,4,genericUser,59.26162818181818,8.927892916067604,0.02240602862200823,0.012013159847706043,5,NONE,100.0,10.0
aco,2,300,1,4,operaUser,46.00411111111111,15.545131221008155,0.029811113352342884,0.013088509655599571,5,NONE,100.0,10.0
aco,2,300,1,5,Aggregate,57.30716743471582,11.199964694873367,0.02231646530488882,0.011313143518051974,5,NONE,100.0,10.0
aco,2,300,1,5,ambulanceUser,47.974636363636364,15.64019765843533,0.027976420823702566,0.011162657916339481,5,NONE,100.0,10.0
aco,2,300,1,5,genericUser,59.25955363636364,8.92761047825977,0.02133936865562653,0.01109577481128952,5,NONE,100.0,10.0
aco,2,300,1,5,operaUser,46.31353797468354,15.55022630373188,0.027542846769197122,0.011022015634595157,5,NONE,100.0,10.0
aco,2,100,3,1,Aggregate,114.86444144838211,15.767092839540158,0.06800027066488831,0.022144290618878758,5,NONE,100.0,10.0
aco,2,100,3,1,ambulanceUser,100.994725,21.958371583857115,0.07994910669873483,0.02055402679150257,5,NONE,100.0,10.0
aco,2,100,3,1,genericUser,117.63377454545454,13.485158700426688,0.06515223505947947,0.021118096166723672,5,NONE,100.0,10.0
aco,2,100,3,1,operaUser,99.09559493670888,17.5506402097241,0.08480334487119129,0.021140122551608007,5,NONE,100.0,10.0
aco,2,100,3,2,Aggregate,114.59575792730085,16.052092135502136,0.0688166024713351,0.02185714235304335,5,NONE,100.0,10.0
aco,2,100,3,2,ambulanceUser,105.51711627906977,19.34054223301688,0.08350971988728513,0.019195139600155703,5,NONE,100.0,10.0
aco,2,100,3,2,genericUser,117.24859272727272,13.908263136940905,0.06607203818098348,0.02104217760501493,5,NONE,100.0,10.0
aco,2,100,3,2,operaUser,97.74418,18.45122955946224,0.08473138027467471,0.019998200339990477,5,NONE,100.0,10.0
